Date,GRA Purchases,PRGT 1/2/,Total in Billions,World GDP,IMF proportion,Percentage,Date
12/31/1984,34936772393.00,2769874900.00,109.02,12269.79237,0.008885236,0.008885236,2022
12/31/1985,35194787249.00,2470247948.00,104.03,12860.09446,0.008089365,0.808936515,2021
12/31/1986,33334905644.00,2013169931.00,105.89,15205.31553,0.006964012,0.696401201,2020
12/31/1987,28751979125.00,1866342930.00,73.54,17307.238,0.004249089,0.424908931,2019
12/31/1988,24750004884.00,1773964293.00,61.82,19337.99747,0.003196815,0.319681498,2018
12/31/1989,22315104224.00,2334886562.00,46.11,20194.0038,0.002283351,0.228335106,2017
12/31/1990,20731851093.00,2571911617.00,55.75,22779.97868,0.002447325,0.24473245,2016
12/31/1991,23378573926.00,3285717796.00,57.33,23759.57245,0.002412922,0.241292221,2015
12/31/1992,23967172718.00,3804463796.00,75.33,25406.10611,0.002965035,0.296503524,2014
12/31/1993,25196745031.00,3942792899.00,90.07,25821.97892,0.003488114,0.348811376,2013
12/31/1994,25611676952.00,4599768498.00,95.81,27872.25513,0.003437469,0.343746853,2012
12/31/1995,35929173412.00,5657438528.00,92.59,31043.64788,0.002982575,0.298257474,2011
12/31/1996,36127472805.00,5881609752.00,60.44,31736.66005,0.001904422,0.19044222,2010
12/31/1997,46559033783.00,6009867422.00,42.3,31620.44366,0.001337742,0.133774214,2009
12/31/1998,60451017051.00,6288825925.00,21.49,31539.9579,0.000681358,0.068135792,2008
12/31/1999,51061861875.00,6434274362.00,9.83,32737.37497,0.000300268,0.030026842,2007
12/31/2000,42990531049.00,6331595468.00,13.67,33830.8788,0.000404069,0.040406872,2006
12/31/2001,53477225409.00,6424578684.00,34.71,33615.43597,0.001032561,0.103256135,2005
12/31/2002,63601058794.00,6868671012.00,62.14,34911.42705,0.001779933,0.177993297,2004
12/31/2003,65032062712.00,6880893268.00,71.91,39146.98839,0.001836923,0.183692291,2003
12/31/2004,55373766674.00,6766029353.00,70.47,44117.60113,0.001597322,0.159732166,2002
12/31/2005,28432143237.00,6282121668.00,59.9,47779.71479,0.00125367,0.12536701,2001
12/31/2006,9822640239.00,3844020520.00,49.32,51779.84559,0.000952494,0.095249415,2000
12/31/2007,6036146757.00,3796945581.00,57.5,58355.01509,0.000985348,0.098534804,1999
12/31/2008,17514964723.00,3972372030.00,66.74,64123.70427,0.001040801,0.104080076,1998
12/31/2009,37221142436.00,5079705286.00,52.57,60809.11183,0.000864509,0.08645086,1997
12/31/2010,55620104510.00,4819344134.00,42.01,66596.05101,0.000630818,0.063081818,1996
12/31/2011,87276915790.00,5308609594.00,41.59,73853.78405,0.00056314,0.056313973,1995
12/31/2012,90042348252.00,5766292503.00,30.21,75488.06418,0.000400196,0.040019572,1994
12/31/2013,83899249061.00,6174392682.00,29.14,77607.19847,0.000375481,0.037548063,1993
12/31/2014,69041563463.00,6292755583.00,27.77,79708.81224,0.000348393,0.03483931,1992
12/31/2015,50757840741.00,6575911158.00,26.66,75179.26627,0.000354619,0.035461905,1991
12/31/2016,49267630851.00,6482647937.00,23.3,76465.59001,0.000304712,0.030471222,1990
12/31/2017,39585385873.00,6522280669.00,24.65,81403.97743,0.000302811,0.030281076,1989
12/31/2018,55395611392.00,6426181029.00,26.52,86413.03278,0.000306898,0.030689815,1988
12/31/2019,66945509865.00,6590835450.00,30.62,87652.86322,0.000349333,0.034933257,1987
12/31/2020,93408630285.00,12481816684.00,35.35,84906.81419,0.000416339,0.041633879,1986
12/31/2021,89474552025.00,14554823681.00,37.67,96100.091,0.000391987,0.039198714,1985
08/31/2022,93769635059.00,15254184552.00,37.71,10400.07,0.003625937,0.362593713,1984
