Date,Totals,Total in Billions,Year
08/31/2022,1.09E+11,109.0238196,2022
12/31/2021,1.04E+11,104.0293757,2021
12/31/2020,1.06E+11,105.890447,2020
12/31/2019,73536345315,73.53634532,2019
12/31/2018,61821792421,61.82179242,2018
12/31/2017,46107666542,46.10766654,2017
12/31/2016,55750278788,55.75027879,2016
12/31/2015,57333751899,57.3337519,2015
12/31/2014,75334319046,75.33431905,2014
12/31/2013,90073641743,90.07364174,2013
12/31/2012,95808640755,95.80864076,2012
12/31/2011,92585525384,92.58552538,2011
12/31/2010,60439448644,60.43944864,2010
12/31/2009,42300847722,42.30084772,2009
12/31/2008,21487336753,21.48733675,2008
12/31/2007,9833092338,9.833092338,2007
12/31/2006,13666660759,13.66666076,2006
12/31/2005,34714264905,34.71426491,2005
12/31/2004,62139796027,62.13979603,2004
12/31/2003,71912955980,71.91295598,2003
12/31/2002,70469729806,70.46972981,2002
12/31/2001,59901804093,59.90180409,2001
12/31/2000,49322126517,49.32212652,2000
12/31/1999,57496136237,57.49613624,1999
12/31/1998,66739842976,66.73984298,1998
12/31/1997,52568901205,52.56890121,1997
12/31/1996,42009082557,42.00908256,1996
12/31/1995,41586611940,41.58661194,1995
12/31/1994,30211445450,30.21144545,1994
12/31/1993,29139537930,29.13953793,1993
12/31/1992,27771636514,27.77163651,1992
12/31/1991,26664291722,26.66429172,1991
12/31/1990,23303762710,23.30376271,1990
12/31/1989,24649990786,24.64999079,1989
12/31/1988,26523969177,26.52396918,1988
12/31/1987,30618322055,30.61832206,1987
12/31/1986,35348075575,35.34807558,1986
12/31/1985,37665035197,37.6650352,1985
12/31/1984,37706647293,37.70664729,1984
