IMF Credit Outstanding  for all members from 1984 - 2022,,,,,,,
(in SDRs),,,,,,,
,,,,,,,
Date,GRA Purchases,PRGT 1/2/,Totals,Total (Billions),Year,Proportion,Percentage (%)
08/31/2022,"93,769,635,059","15,254,184,552","109,023,819,611",109.0238196,2022,0.053092044,5.309204387
12/31/2021,"89,474,552,025","14,554,823,681","104,029,375,706",104.0293757,2021,0.050659867,5.065986679
12/31/2020,"93,408,630,285","12,481,816,684","105,890,446,969",105.890447,2020,0.051566165,5.156616486
12/31/2019,"66,945,509,865","6,590,835,450","73,536,345,315",73.53634532,2019,0.035810476,3.581047596
12/31/2018,"55,395,611,392","6,426,181,029","61,821,792,421",61.82179242,2018,0.030105763,3.010576337
12/31/2017,"39,585,385,873","6,522,280,669","46,107,666,542",46.10766654,2017,0.022453353,2.245335252
12/31/2016,"49,267,630,851","6,482,647,937","55,750,278,788",55.75027879,2016,0.027149079,2.714907859
12/31/2015,"50,757,840,741","6,575,911,158","57,333,751,899",57.3337519,2015,0.027920193,2.792019287
12/31/2014,"69,041,563,463","6,292,755,583","75,334,319,046",75.33431905,2014,0.036686047,3.668604701
12/31/2013,"83,899,249,061","6,174,392,682","90,073,641,743",90.07364174,2013,0.043863752,4.386375157
12/31/2012,"90,042,348,252","5,766,292,503","95,808,640,755",95.80864076,2012,0.046656562,4.665656162
12/31/2011,"87,276,915,790","5,308,609,594","92,585,525,384",92.58552538,2011,0.04508698,4.508698001
12/31/2010,"55,620,104,510","4,819,344,134","60,439,448,644",60.43944864,2010,0.029432594,2.943259437
12/31/2009,"37,221,142,436","5,079,705,286","42,300,847,722",42.30084772,2009,0.020599521,2.059952101
12/31/2008,"17,514,964,723","3,972,372,030","21,487,336,753",21.48733675,2008,0.010463829,1.046382919
12/31/2007,"6,036,146,757","3,796,945,581","9,833,092,338",9.833092338,2007,0.004788485,0.478848541
12/31/2006,"9,822,640,239","3,844,020,520","13,666,660,759",13.66666076,2006,0.006655343,0.665534335
12/31/2005,"28,432,143,237","6,282,121,668","34,714,264,905",34.71426491,2005,0.016905033,1.690503306
12/31/2004,"55,373,766,674","6,766,029,353","62,139,796,027",62.13979603,2004,0.030260624,3.026062367
12/31/2003,"65,032,062,712","6,880,893,268","71,912,955,980",71.91295598,2003,0.035019923,3.501992342
12/31/2002,"63,601,058,794","6,868,671,012","70,469,729,806",70.46972981,2002,0.034317106,3.431710611
12/31/2001,"53,477,225,409","6,424,578,684","59,901,804,093",59.90180409,2001,0.029170774,2.917077408
12/31/2000,"42,990,531,049","6,331,595,468","49,322,126,517",49.32212652,2000,0.024018719,2.401871916
12/31/1999,"51,061,861,875","6,434,274,362","57,496,136,237",57.49613624,1999,0.02799927,2.799927024
12/31/1998,"60,451,017,051","6,288,825,925","66,739,842,976",66.73984298,1998,0.032500739,3.250073868
12/31/1997,"46,559,033,783","6,009,867,422","52,568,901,205",52.56890121,1997,0.025599822,2.55998223
12/31/1996,"36,127,472,805","5,881,609,752","42,009,082,557",42.00908256,1996,0.020457438,2.045743822
12/31/1995,"35,929,173,412","5,657,438,528","41,586,611,940",41.58661194,1995,0.020251705,2.025170493
12/31/1994,"25,611,676,952","4,599,768,498","30,211,445,450",30.21144545,1994,0.014712266,1.471226557
12/31/1993,"25,196,745,031","3,942,792,899","29,139,537,930",29.13953793,1993,0.014190272,1.419027174
12/31/1992,"23,967,172,718","3,804,463,796","27,771,636,514",27.77163651,1992,0.013524136,1.352413582
12/31/1991,"23,378,573,926","3,285,717,796","26,664,291,722",26.66429172,1991,0.012984885,1.298488487
12/31/1990,"20,731,851,093","2,571,911,617","23,303,762,710",23.30376271,1990,0.011348386,1.134838604
12/31/1989,"22,315,104,224","2,334,886,562","24,649,990,786",24.64999079,1989,0.012003968,1.200396754
12/31/1988,"24,750,004,884","1,773,964,293","26,523,969,177",26.52396918,1988,0.012916551,1.291655108
12/31/1987,"28,751,979,125","1,866,342,930","30,618,322,055",30.61832206,1987,0.014910405,1.491040493
12/31/1986,"33,334,905,644","2,013,169,931","35,348,075,575",35.34807558,1986,0.017213684,1.7213684
12/31/1985,"35,194,787,249","2,470,247,948","37,665,035,197",37.6650352,1985,0.018341989,1.834198901
12/31/1984,"34,936,772,393","2,769,874,900","37,706,647,293",37.70664729,1984,0.018362253,1.836225312
,,,,,,,
TOTALS,"1,832,284,791,362","221,202,165,685","2,053,486,957,047",2053.486957,,1,100
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,,
,,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,,
