Entity,Code,Annual C02 emissions (per capita)
Afghanistan,AFG,0.29611897
Africa,,1.0414075
Albania,ALB,1.618066
Algeria,DZA,3.9899774
Andorra,AND,5.7286263
Angola,AGO,0.6191414
Anguilla,AIA,9.173204
Antigua and Barbuda,ATG,5.027352
Argentina,ARG,4.117966
Armenia,ARM,2.4385939
Aruba,ABW,8.054269
Australia,AUS,15.091471
Austria,AUT,7.243327
Azerbaijan,AZE,3.7324574
Bahamas,BHS,5.8503213
Bahrain,BHR,26.663702
Bangladesh,BGD,0.5501772
Barbados,BRB,4.0017247
Belarus,BLR,6.2227383
Belgium,BEL,8.243808
Belize,BLZ,1.7231431
Benin,BEN,0.5967434
Bermuda,BMU,8.533475
Bhutan,BTN,1.9576669
Bolivia,BOL,1.9306858
Bosnia and Herzegovina,BIH,4.1475167
Botswana,BWA,2.5111492
Brazil,BRA,2.281014
Brunei,BRN,23.531528
Bulgaria,BGR,6.1808095
Burkina Faso,BFA,0.25783187
Burundi,BDI,0.055206448
Cambodia,KHM,1.1470591
Cameroon,CMR,0.3418291
Canada,CAN,14.3004675
Cape Verde,CPV,1.1356577
Central African Republic,CAF,0.041650932
Chad,TCD,0.11291891
Chile,CHL,4.3834257
China,CHN,8.04574
Colombia,COL,1.7800757
Comoros,COM,0.3629009
Congo,COG,1.2790622
Costa Rica,CRI,1.5171846
Cote d'Ivoire,CIV,0.42603302
Croatia,HRV,4.3598137
Cuba,CUB,1.9595414
Curacao,CUW,9.686285
Cyprus,CYP,6.1087165
Czechia,CZE,9.241809
Democratic Republic of Congo,COD,0.027182981
Denmark,DNK,5.0522227
Djibouti,DJI,0.34297308
Dominica,DMA,2.188569
Dominican Republic,DOM,2.6014054
Ecuador,ECU,2.321741
Egypt,EGY,2.2846344
El Salvador,SLV,1.1409876
Equatorial Guinea,GNQ,3.1966193
Eritrea,ERI,0.22666506
Estonia,EST,7.86407
Eswatini,SWZ,0.91188765
Ethiopia,ETH,0.14792238
Faeroe Islands,FRO,13.197505
Fiji,FJI,1.5902857
Finland,FIN,6.7923503
France,FRA,4.7413116
French Guiana,GUF,2.189799
French Polynesia,PYF,3.1239517
Gabon,GAB,2.4399939
Gambia,GMB,0.24837817
Georgia,GEO,2.929708
Germany,DEU,8.08974
Ghana,GHA,0.64912677
Greece,GRC,5.390837
Greenland,GRL,9.0758
Grenada,GRD,2.5613847
Guadeloupe,GLP,5.784693
Guatemala,GTM,1.1543926
Guinea,GIN,0.35780457
Guinea-Bissau,GNB,0.17073512
Guyana,GUY,3.837854
Haiti,HTI,0.25122553
Honduras,HND,1.060269
Hong Kong,HKG,4.2249703
Hungary,HUN,4.9902883
Iceland,ISL,9.113199
India,IND,1.9250876
Indonesia,IDN,2.2621746
Iran,IRN,8.517396
Iraq,IRQ,4.262931
Ireland,IRL,7.5283546
Israel,ISR,6.126762
Italy,ITA,5.5483704
Jamaica,JAM,2.7194328
Japan,JPN,8.56574
Jordan,JOR,2.2957532
Kazakhstan,KAZ,14.413248
Kenya,KEN,0.37496784
Kiribati,KIR,0.5550228
Kosovo,OWID_KOS,3.396079
Kuwait,KWT,24.972116
Kyrgyzstan,KGZ,1.4259297
Laos,LAO,2.7982957
Latvia,LVA,3.877535
Lebanon,LBN,4.462823
Lesotho,LSO,1.0003072
Liberia,LBR,0.23014884
Libya,LBY,11.064882
Liechtenstein,LIE,3.8647652
Lithuania,LTU,4.981188
Luxembourg,LUX,13.067673
Macao,MAC,1.8740766
Madagascar,MDG,0.146784
Malawi,MWI,0.07803988
Malaysia,MYS,7.626435
Maldives,MDV,4.0619364
Mali,MLI,0.19035652
Malta,MLT,3.273186
Marshall Islands,MHL,3.7781527
Martinique,MTQ,5.6945543
Mauritania,MRT,0.8923355
Mauritius,MUS,3.4426038
Mayotte,MYT,0.86475307
Mexico,MEX,3.2138007
Micronesia (country),FSM,1.4049654
Moldova,MDA,1.8296566
Mongolia,MNG,15.029628
Montenegro,MNE,2.789471
Montserrat,MSR,4.659306
Morocco,MAR,1.9035642
Mozambique,MOZ,0.2230942
Myanmar,MMR,0.67487085
Namibia,NAM,1.5867921
Nauru,NRU,4.7563233
Nepal,NPL,0.47188523
Netherlands,NLD,8.058957
New Caledonia,NCL,19.096947
New Zealand,NZL,6.587057
Nicaragua,NIC,0.7385937
Niger,NER,0.10687553
Nigeria,NGA,0.6419209
Niue,NIU,6.0919776
North Korea,PRK,2.170811
North Macedonia,MKD,3.25748
Norway,NOR,7.5732727
Oman,OMN,17.916525
Pakistan,PAK,0.99183357
Palau,PLW,13.210194
Palestine,PSE,0.6023757
Panama,PAN,2.9949045
Papua New Guinea,PNG,0.85528
Paraguay,PRY,1.2793584
Peru,PER,1.669323
Philippines,PHL,1.2668023
Poland,POL,8.577376
Portugal,PRT,3.9647021
Qatar,QAT,35.587307
Reunion,REU,4.2467885
Romania,ROU,4.104127
Russia,RUS,12.09865
Rwanda,RWA,0.13033324
Saint Helena,SHN,2.5396094
Saint Kitts and Nevis,KNA,4.9924207
Saint Lucia,LCA,2.7046583
Saint Pierre and Miquelon,SPM,10.505165
Saint Vincent and the Grenadines,VCT,2.0478244
Samoa,WSM,1.3441752
Sao Tome and Principe,STP,0.5915166
Saudi Arabia,SAU,18.70299
Senegal,SEN,0.8057197
Serbia,SRB,4.2304993
Seychelles,SYC,5.3366547
Sierra Leone,SLE,0.15431175
Singapore,SGP,5.4715614
Sint Maarten (Dutch part),SXM,14.704659
Slovakia,SVK,6.481401
Slovenia,SVN,5.921149
Solomon Islands,SLB,0.44913858
Somalia,SOM,0.035766363
South Africa,ZAF,7.339827
South Korea,KOR,11.886425
South Sudan,SSD,0.14719196
Spain,ESP,4.9202914
Sri Lanka,LKA,0.9544157
Sudan,SDN,0.46078634
Suriname,SUR,4.5566983
Sweden,SWE,3.4249187
Switzerland,CHE,4.019106
Syria,SYR,1.2661933
Taiwan,TWN,11.85487
Tajikistan,TJK,1.060136
Tanzania,TZA,0.20536575
Thailand,THA,3.889545
Timor,TLS,0.5574256
Togo,TGO,0.27091572
Tonga,TON,1.6490842
Trinidad and Tobago,TTO,23.677477
