Entity,Code,Year,Annual C02 emissions
France,FRA,1965,363497540
France,FRA,1966,380389800
France,FRA,1967,404666620
France,FRA,1968,418254240
France,FRA,1969,443401400
France,FRA,1970,460449150
France,FRA,1971,493421630
France,FRA,1972,513987300
France,FRA,1973,538685200
France,FRA,1974,520686050
France,FRA,1975,482201440
France,FRA,1976,523484260
France,FRA,1977,506997660
France,FRA,1978,528802780
France,FRA,1979,532165100
France,FRA,1980,511112160
France,FRA,1981,459371870
France,FRA,1982,440436220
France,FRA,1983,423313730
France,FRA,1984,412001800
France,FRA,1985,405222050
France,FRA,1986,390393100
France,FRA,1987,387772640
France,FRA,1988,385571070
France,FRA,1989,399678370
France,FRA,1990,393422900
France,FRA,1991,418367140
France,FRA,1992,406648320
France,FRA,1993,388080130
France,FRA,1994,381908900
France,FRA,1995,386261860
France,FRA,1996,401373100
France,FRA,1997,393945150
France,FRA,1998,413634370
France,FRA,1999,412183140
France,FRA,2000,406828930
France,FRA,2001,411613950
France,FRA,2002,407790500
France,FRA,2003,412534600
France,FRA,2004,413779940
France,FRA,2005,416165820
France,FRA,2006,406462370
France,FRA,2007,396660500
France,FRA,2008,390777570
France,FRA,2009,371045220
France,FRA,2010,376645400
France,FRA,2011,354602460
France,FRA,2012,356912580
France,FRA,2013,358623360
France,FRA,2014,327107260
France,FRA,2015,331580000
France,FRA,2016,334439780
France,FRA,2017,337457540
France,FRA,2018,322526820
France,FRA,2019,316386780
