Country Name,Country Code,Access to electricity
Aruba,ABW,100
Africa Eastern and Southern,AFE,45.60960429
Afghanistan,AFG,97.69999695
Africa Western and Central,AFW,52.08205283
Angola,AGO,46.89060974
Albania,ALB,100
Andorra,AND,100
Arab World,ARB,90.23438955
United Arab Emirates,ARE,100
Argentina,ARG,100
Armenia,ARM,100
American Samoa,ASM,
Antigua and Barbuda,ATG,100
Australia,AUS,100
Austria,AUT,100
Azerbaijan,AZE,100
Burundi,BDI,11.73555565
Belgium,BEL,100
Benin,BEN,41.41095734
Burkina Faso,BFA,18.95723915
Bangladesh,BGD,96.19999695
Bulgaria,BGR,99.69999695
Bahrain,BHR,100
"Bahamas, The",BHS,100
Bosnia and Herzegovina,BIH,100
Belarus,BLR,100
Belize,BLZ,97.11333466
Bermuda,BMU,100
Bolivia,BOL,97.55412292
Brazil,BRA,100
Barbados,BRB,100
Brunei Darussalam,BRN,100
Bhutan,BTN,100
Botswana,BWA,71.99475861
Central African Republic,CAF,15.46508408
Canada,CAN,100
Central Europe and the Baltics,CEB,99.97964158
Switzerland,CHE,100
Channel Islands,CHI,100
Chile,CHL,100
China,CHN,100
Cote d'Ivoire,CIV,69.67912292
Cameroon,CMR,64.72136688
"Congo, Dem. Rep.",COD,19.10000038
"Congo, Rep.",COG,49.51710129
Colombia,COL,100
Comoros,COM,86.73713684
Cabo Verde,CPV,94.16174316
Costa Rica,CRI,99.90000153
Caribbean small states,CSS,98.79517567
Cuba,CUB,100
Curacao,CUW,100
Cayman Islands,CYM,100
Cyprus,CYP,100
Czechia,CZE,100
Germany,DEU,100
Djibouti,DJI,61.76708221
Dominica,DMA,100
Denmark,DNK,100
Dominican Republic,DOM,100
Algeria,DZA,99.80413055
East Asia & Pacific (excluding high income),EAP,97.80266892
Early-demographic dividend,EAR,93.33166165
East Asia & Pacific,EAS,98.01291972
Europe & Central Asia (excluding high income),ECA,99.98919572
Europe & Central Asia,ECS,99.99532066
Ecuador,ECU,98.84999847
"Egypt, Arab Rep.",EGY,100
Euro area,EMU,100
Eritrea,ERI,52.1710968
Spain,ESP,100
Estonia,EST,100
Ethiopia,ETH,51.0939827
European Union,EUU,99.99535345
Fragile and conflict affected situations,FCS,56.52777971
Finland,FIN,100
Fiji,FJI,100
France,FRA,100
Faroe Islands,FRO,100
"Micronesia, Fed. Sts.",FSM,82.92591858
Gabon,GAB,91.57156372
United Kingdom,GBR,100
Georgia,GEO,100
Ghana,GHA,85.87355042
Gibraltar,GIB,100
Guinea,GIN,44.66867828
"Gambia, The",GMB,62.27306747
Guinea-Bissau,GNB,33.33546829
Equatorial Guinea,GNQ,66.74772644
Greece,GRC,100
Grenada,GRD,93.58644867
Greenland,GRL,100
Guatemala,GTM,97.05526733
Guam,GUM,100
Guyana,GUY,92.5405426
High income,HIC,99.98835294
"Hong Kong SAR, China",HKG,100
Honduras,HND,93.20671082
Heavily indebted poor countries (HIPC),HPC,46.4506297
