Country Name,Life Expectancy at Birth (2020)
Aruba,75.723
Africa Eastern and Southern,63.31385599
Afghanistan,62.575
Africa Western and Central,57.22637273
Angola,62.261
Albania,76.989
Arab World,70.92335959
United Arab Emirates,78.946
Argentina,75.892
Armenia,72.173
Antigua and Barbuda,78.841
Australia,83.2
Austria,81.19268293
Azerbaijan,66.868
Burundi,61.566
Belgium,80.79512195
Benin,60.088
Burkina Faso,59.731
Bangladesh,71.968
Bulgaria,73.60731707
Bahrain,79.174
"Bahamas, The",72.677
Bosnia and Herzegovina,76.225
Belarus,74.22682927
Belize,72.854
Bermuda,82.05609756
Bolivia,64.467
Brazil,74.009
Barbados,77.393
Brunei Darussalam,74.795
Bhutan,71.609
Botswana,65.647
Central African Republic,54.604
Canada,81.74878049
Switzerland,83.1
Channel Islands,81.264
Chile,79.377
China,78.077
Cote d'Ivoire,59.032
Cameroon,60.833
"Congo, Dem. Rep.",59.739
"Congo, Rep.",63.785
Colombia,74.769
Comoros,64.166
Cabo Verde,74.808
Costa Rica,79.277
Cuba,77.567
Cyprus,81.391
Czechia,78.22682927
Germany,80.94146341
Djibouti,62.694
Denmark,81.55121951
Dominican Republic,72.889
Algeria,74.453
Ecuador,72.153
"Egypt, Arab Rep.",70.99
Eritrea,67.133
Spain,82.33414634
Estonia,78.34634146
Ethiopia,65.371
Finland,82.13170732
Fiji,67.924
France,82.17560976
Faroe Islands,83.09268293
"Micronesia, Fed. Sts.",70.674
Gabon,66.531
United Kingdom,80.90243902
Georgia,72.765
Ghana,64.114
Gibraltar,82.198
Guinea,59.327
"Gambia, The",62.612
Guinea-Bissau,59.999
Equatorial Guinea,60.708
Greece,81.08780488
Grenada,74.924
Greenland,71.40463415
Guatemala,71.797
Guam,76.612
Guyana,68.486
Honduras,71.462
Croatia,77.72439024
Haiti,64.052
Hungary,75.61707317
Indonesia,68.808
Isle of Man,80.588
India,70.15
Ireland,82.20487805
"Iran, Islamic Rep.",74.832
Iraq,69.123
Iceland,83.06585366
Israel,82.7
Italy,82.34390244
Jamaica,71.869
Jordan,75.184
Japan,84.61560976
Kazakhstan,71.37
Kenya,62.675
Kyrgyz Republic,71.8
Cambodia,70.416
Kiribati,67.266
"Korea, Rep.",83.42682927
Kuwait,76.92
Lao PDR,68.497
Lebanon,77.804
Liberia,60.948
Libya,72.472
St. Lucia,73.416
Latin America & Caribbean,73.03840927
Liechtenstein,81.80731707
Sri Lanka,76.393
Lesotho,54.693
Lithuania,74.92926829
Luxembourg,81.74146341
Latvia,75.38780488
"Macao SAR, China",85.184
St. Martin (French part),80.149
Morocco,73.92
Moldova,70.166
Madagascar,65.182
Maldives,79.875
Mexico,70.133
North Macedonia,75.69317073
Mali,58.633
Malta,82.65365854
Myanmar,66.797
Montenegro,75.93170732
Mongolia,72.141
Mozambique,61.172
Mauritania,64.532
Mauritius,74.17707317
Malawi,63.717
Malaysia,75.938
North America,77.74116282
Namibia,62.829
New Caledonia,80.83495122
Niger,61.451
Nigeria,52.887
Nicaragua,71.795
Netherlands,81.4097561
Norway,83.2097561
Nepal,69.246
New Zealand,82.05609756
Oman,74.757
Pakistan,66.269
Panama,76.657
Peru,73.665
Philippines,72.119
Papua New Guinea,65.787
Poland,76.6
Puerto Rico,78.041
"Korea, Dem. People's Rep.",73.274
Portugal,80.97560976
Paraguay,73.182
West Bank and Gaza,74.403
French Polynesia,82.217
Qatar,79.099
Romania,74.35365854
Russian Federation,71.33878049
Rwanda,66.774
South Asia,69.74833092
Saudi Arabia,76.239
Sudan,65.614
Senegal,68.006
Singapore,83.74390244
Solomon Islands,70.199
Sierra Leone,59.763
El Salvador,71.061
Somalia,55.967
Serbia,74.22926829
South Sudan,55.48
Sub-Saharan Africa,60.84889125
Sao Tome and Principe,67.785
Suriname,72.561
Slovak Republic,76.86585366
Slovenia,80.53170732
Sweden,82.40731707
Eswatini,59.692
Seychelles,77.23658537
Syrian Arab Republic,72.14
Turks and Caicos Islands,75.001
Chad,52.777
Togo,61.035
Thailand,79.274
Tajikistan,67.994
Turkmenistan,68.687
Timor-Leste,68.475
Tonga,70.928
Trinidad and Tobago,74.406
Tunisia,75.292
Turkiye,75.85
Tuvalu,64.382
Tanzania,66.408
Uganda,62.851
Ukraine,71.18512195
Uruguay,78.43
United States,77.2804878
Uzbekistan,70.331
St. Vincent and the Grenadines,72.126
"Venezuela, RB",71.095
British Virgin Islands,75.849
Virgin Islands (U.S.),79.8195122
Vietnam,75.378
Vanuatu,70.299
Samoa,72.768
Kosovo,76.567
"Yemen, Rep.",64.65
South Africa,65.252
Zambia,62.38
Zimbabwe,61.124
