Series,Date,Index value
CPIH,2021-04-01,100
CPIH,2021-05-01,99.7
CPIH,2021-06-01,99.9
CPIH,2021-07-01,99.6
CPIH,2021-08-01,100.6
CPIH,2021-09-01,100.4
CPIH,2021-10-01,100.9
CPIH,2021-11-01,101.9
CPIH,2021-12-01,103.2
CPIH,2022-01-01,103.9
CPIH,2022-02-01,104.9
CPIH,2022-03-01,105.1
CPIH,2022-04-01,106.7
CPIH,2022-05-01,108.3
CPIH,2022-06-01,109.7
CPIH,2022-07-01,112.2
CPIH,2022-08-01,113.8
CPIH,2022-09-01,115.1
Lowest cost grocery items,2021-04-01,100
Lowest cost grocery items,2021-05-01,100.2
Lowest cost grocery items,2021-06-01,99.7
Lowest cost grocery items,2021-07-01,100
Lowest cost grocery items,2021-08-01,100.9
Lowest cost grocery items,2021-09-01,99.5
Lowest cost grocery items,2021-10-01,103.4
Lowest cost grocery items,2021-11-01,103.2
Lowest cost grocery items,2021-12-01,104.9
Lowest cost grocery items,2022-01-01,105.6
Lowest cost grocery items,2022-02-01,105.5
Lowest cost grocery items,2022-03-01,106
Lowest cost grocery items,2022-04-01,106.9
Lowest cost grocery items,2022-05-01,108
Lowest cost grocery items,2022-06-01,109.6
Lowest cost grocery items,2022-07-01,111.5
Lowest cost grocery items,2022-08-01,113.1
Lowest cost grocery items,2022-09-01,116.7
